LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,domain_written_singular,range_written_singular,range_written_plural,,,,,,,,,,
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Organisation,dbo:Agent,feminine,Organisation,Organisation,masculine,Agent,Agenten,"Was (dbo:Agent, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Agent, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Agent, X) Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Organisation,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Agent,dbo:Agent,masculine,Agent,Agenten,masculine,Agent,Agenten,"Was (dbo:Agent, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Agent, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Agent, X) Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,feminine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Group,dbo:Agent,feminine,Gruppe,Gruppen,masculine,Agent,Agenten,"Was (dbo:Agent, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Agent, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Agent, X) Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Group,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
wife_of_1,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,masculine,Person,Personen,feminine,dbo:Person,Personen,"Was (dbo:Person, X) ist die Frau von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche (dbo:Person, X) ist die Frau von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Frau von (dbo:Person,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"Gib mir die (dbo:Person, X) Frau von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"die Frau von (dbo:Person,Y) ",SELECT ?X WHERE { Y dbo:spouse ?X.}
wife_of_2,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:OfficeHolder,dbo:Person,masculine,Amtsinhaber,Amtsinhaber,feminine,Person,Personen,"Was (dbo:Person, X) ist die Frau von (dbo:OfficeHolder,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche (dbo:Person, X) ist die Frau von (dbo:OfficeHolder,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Frau von (dbo:OfficeHolder,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"Gib mir die (dbo:Person, X) Frau von (dbo:OfficeHolder,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"die Frau von (dbo:OfficeHolder,Y) ",SELECT ?X WHERE { Y dbo:spouse ?X.}
wife_of_3,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:Agent,dbo:Person,masculine,Agent,Agenten,feminine,Person,Personen,"Was (dbo:Person, X) ist die Frau von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche (dbo:Person, X) ist die Frau von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Frau von (dbo:Agent,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"Gib mir die (dbo:Person, X) Frau von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"die Frau von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:spouse ?X.}
wife_of_4,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:Politician,dbo:Person,masculine,Politiker,Politiker,feminine,Person,Personen,"Was (dbo:Person, X) ist die Frau von (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche (dbo:Person, X) ist die Frau von (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Frau von (dbo:Politician,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"Gib mir die (dbo:Person, X) Frau von (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"die Frau von (dbo:Politician,Y) ",SELECT ?X WHERE { Y dbo:spouse ?X.}
coach_of_1,noun,masculine,Trainer,Trainer,Trainer,Trainer,Trainers,von,NounPPFrame,range,domain,1,dbo:coach,dbo:IceHockeyLeague,dbo:CollegeCoach,feminine,Liga,Ligen,masculine,Trainer,Trainer,"Was (dbo:CollegeCoach, X) ist die Trainer von (dbo:IceHockeyLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"Welche (dbo:CollegeCoach, X) ist die Trainer von (dbo:IceHockeyLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},FALSE,FALSE,"Gib mir die (dbo:CollegeCoach, X) Trainer von (dbo:IceHockeyLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"die Trainer von (dbo:IceHockeyLeague,Y) ",SELECT ?X WHERE { Y dbo:coach ?X.}
coach_of_2,noun,masculine,Trainer,Trainer,Trainer,Trainer,Trainers,von,NounPPFrame,range,domain,1,dbo:coach,dbo:Organisation,dbo:CollegeCoach,feminine,Organisation,Organisation,masculine,Trainer,Trainer,"Was (dbo:CollegeCoach, X) ist die Trainer von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"Welche (dbo:CollegeCoach, X) ist die Trainer von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},FALSE,FALSE,"Gib mir die (dbo:CollegeCoach, X) Trainer von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"die Trainer von (dbo:Organisation,Y) ",SELECT ?X WHERE { Y dbo:coach ?X.}
coach_of_4,noun,masculine,Trainer,Trainer,Trainer,Trainer,Trainers,von,NounPPFrame,range,domain,1,dbo:coach,dbo:Agent,dbo:CollegeCoach,masculine,Agent,Agenten,masculine,Trainer,Trainer,"Was (dbo:CollegeCoach, X) ist die Trainer von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"Welche (dbo:CollegeCoach, X) ist die Trainer von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},FALSE,FALSE,"Gib mir die (dbo:CollegeCoach, X) Trainer von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"die Trainer von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:coach ?X.}
coach_of_5,noun,masculine,Trainer,Trainer,Trainer,Trainer,Trainers,von,NounPPFrame,range,domain,1,dbo:coach,dbo:SportsLeague,dbo:CollegeCoach,feminine,Liga,Ligen,masculine,Trainer,Trainer,"Was (dbo:CollegeCoach, X) ist die Trainer von (dbo:SportsLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"Welche (dbo:CollegeCoach, X) ist die Trainer von (dbo:SportsLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},FALSE,FALSE,"Gib mir die (dbo:CollegeCoach, X) Trainer von (dbo:SportsLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"die Trainer von (dbo:SportsLeague,Y) ",SELECT ?X WHERE { Y dbo:coach ?X.}
Musik_von,noun,feminine,Musik,Musiken,Musik,Musik,Musik,von,NounPPFrame,range,domain,1,dbo:musicBy,dbo:Person,dbo:Musical,feminine,Person,Personen,neuter,Musical,Musicals,"Was (dbo:Musical, X) ist die Musik von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:musicBy ?X.},,,,,,,,
Musik_von,noun,feminine,Musik,Musiken,Musik,Musik,Musik,von,NounPPFrame,range,domain,1,dbo:musicBy,dbo:Person,dbo:MusicalWork,feminine,Person,Personen,neuter,Musical,Musicals,"Was (dbo:MusicalWork, X) ist die Musik von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:musicBy ?X.},,,,,,,,
Musik_von,noun,feminine,Musik,Musiken,Musik,Musik,Musik,von,NounPPFrame,range,domain,1,dbo:musicBy,dbo:Person,dbo:Work,feminine,Person,Personen,neuter,Musical,Musicals,"Was (dbo:Work, X) ist die Musik von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:musicBy ?X.},,,,,,,,
